ID;LONGITUDE;LATITUDE
546;-51202329;-30143149
547;-51202936;-30142411
548;-51206971;-30120098
549;-51206761;-30121269
550;-51105193;-30010263
551;-51105139;-30010507
552;-51116616;-30013759
553;-51116056;-30013800
554;-51139314;-30023834
555;-51138479;-30023876
556;-51174316;-30010118
557;-51173593;-30010211
558;-51153403;-30003378
559;-51153439;-30002712
560;-51148796;-30008270
561;-51148742;-30007687
562;-51142585;-29999374
563;-51142622;-29998629
564;-51168172;-30018348
565;-51168073;-30019583
566;-51128805;-30026183
567;-51128936;-30026593
568;-51225700;-30093284
569;-51225054;-30093708
570;-51221677;-30088235
571;-51220988;-30089168
572;-51240318;-30093816
573;-51238799;-30094107
574;-51250026;-30094719
575;-51147362;-30156975
576;-51147509;-30157162
577;-51149299;-30155840
578;-51149139;-30155931
579;-51139074;-30141366
580;-51139691;-30142236
581;-51137984;-30143152
582;-51137369;-30142281
583;-51137921;-30141987
584;-51138536;-30142856
585;-51139087;-30142560
586;-51138469;-30141691
587;-51140664;-30141726
588;-51136817;-30142578
589;-51136522;-30142163
590;-51137433;-30143448
591;-51136882;-30143744
592;-51135972;-30142458
593;-51135409;-30142761
594;-51134529;-30141522
595;-51135868;-30141230
596;-51148416;-30156351
597;-51148465;-30156567
598;-51125418;-30023379
599;-51125672;-30023408
600;-51123118;-30035896
601;-51122759;-30035913
602;-51129110;-30018043
603;-51127538;-30018119
604;-51123602;-30013567
605;-51123557;-30014184
606;-51155471;-30032228
607;-51154749;-30032224
608;-51145652;-30035795
609;-51145153;-30036273
610;-51144615;-30031765
611;-51144060;-30031758
612;-51140027;-30031619
613;-51140047;-30031674
614;-51141150;-30030727
615;-51140882;-30031611
616;-51145378;-30033367
617;-51146635;-30034035
618;-51123068;-30035557
619;-51122985;-30034920
620;-51135126;-30033536
621;-51134700;-30031745
622;-51158494;-30033505
623;-51158641;-30031842
624;-51141272;-30039302
625;-51140097;-30038932
626;-51124421;-30035952
627;-51124978;-30036301
628;-51130966;-30038329
629;-51130192;-30038121
630;-51158127;-30038335
631;-51158389;-30036832
632;-51135518;-30031498
633;-51135912;-30033577
634;-51133849;-30020428
635;-51133808;-30021108
636;-51129220;-30019593
637;-51129251;-30019842
638;-51141604;-30018770
639;-51141215;-30019762
640;-51141104;-30019459
641;-51126892;-30018901
642;-51126340;-30019753
643;-51148167;-30167724
644;-51148662;-30167856
645;-51141350;-30166636
646;-51141352;-30167240
647;-51150135;-30165423
648;-51150172;-30166889
649;-51149421;-30166838
650;-51145336;-30176095
651;-51140398;-30175651
652;-51143892;-30163049
653;-51143811;-30163792
654;-51141018;-30182987
655;-51135507;-30181926
656;-51150279;-30169483
657;-51149129;-30169468
658;-51144054;-30165224
659;-51142327;-30165395
660;-51152973;-30164796
661;-51152271;-30165037
662;-51142280;-30164768
663;-51130719;-30151417
664;-51128510;-30153165
665;-51162009;-30151294
666;-51162101;-30151483
667;-51161418;-30151001
668;-51161326;-30151507
669;-51165090;-30151270
670;-51165677;-30151596
671;-51168695;-30151862
672;-51167838;-30151383
673;-51168724;-30151172
674;-51143541;-30029255
675;-51141111;-30030791
676;-51134661;-30002693
677;-51132759;-29999831
678;-51096658;-30009650
679;-51095870;-30009719
680;-51095749;-30009726
681;-51095033;-30009768
682;-51098321;-29988888
683;-51098172;-29990819
684;-51098275;-29993978
685;-51098943;-29993989
686;-51102251;-29999743
687;-51102656;-29999779
688;-51099473;-30002062
689;-51099477;-30001749
690;-51099655;-30002374
691;-51102772;-30010474
692;-51102718;-30012187
693;-51101143;-30012798
694;-51099268;-30012811
695;-51102157;-30012810
696;-51102984;-30005209
697;-51102487;-30002200
698;-51105271;-30005299
699;-51104922;-30001985
700;-51101335;-29992631
701;-51101168;-29992619
702;-51101361;-29992864
703;-51152402;-30146871
704;-51158155;-30146723
705;-51158963;-30151248
706;-51158547;-30151371
707;-51158570;-30149675
708;-51159191;-30151742
709;-51157377;-30153068
710;-51157200;-30152363
711;-51157200;-30152362
712;-51156774;-30152289
713;-51158727;-30157639
714;-51158418;-30156485
715;-51158879;-30158210
716;-51159032;-30158780
717;-51159623;-30161227
718;-51159265;-30160641
719;-51159834;-30160913
720;-51158311;-30156085
721;-51169725;-30153085
722;-51168969;-30152726
723;-51181361;-30154390
724;-51181566;-30153826
725;-51156594;-30168428
726;-51153964;-30167905
727;-51177019;-30151069
728;-51175057;-30150263
729;-51163060;-30143784
730;-51165538;-30143936
731;-51126212;-30018924
732;-51125806;-30019521
733;-51125613;-30019374
734;-51125570;-30018946
735;-51133228;-30020456
736;-51137727;-30020425
737;-51137347;-30020340
738;-51135087;-30019674
739;-51135149;-30020259
740;-51133032;-30136515
741;-51133252;-30136883
742;-51135071;-30144715
743;-51135619;-30145478
744;-51137792;-30146114
745;-51138214;-30145622
746;-51138632;-30145138
747;-51139049;-30144651
748;-51139533;-30144269
749;-51140064;-30143941
750;-51140669;-30143617
