ID;Longitude;Latitude;ORDEM;DATA_IMPLA;PREDIAL;CDL1;CDL2;LOG1;LOG2;LOCAL;LOCAL_SIG;TIPO;OBSERVACAO;CODIGO
1731;-51.194303;-30.040499;52;;;7977218;;AV PROTASIO ALVES;;DF 1309 AV PROTASIO ALVES;AV PROTASIO ALVES;PEDESTRE;PED CB APÓS CRUZ LUCAS DE OLIVEIRA;PRO-LUC
1732;-51.197217;-30.040080;53;;1094;7977218;;AV PROTASIO ALVES;;1094 AV PROTASIO ALVES;1098 AV PROTASIO ALVES;PEDESTRE;PED ANTES CRUZ NEUSA BRIZOLA;PRO-NEU
1733;-51.204072;-30.037827;54;;;7977218;;AV PROTASIO ALVES;;AV PROTASIO ALVES CB EMBAIXO VDT TIRADENTES;AV PROTASIO ALVES CB EMBAIXO VDT TIRADENTES;PEDESTRE;SOB o viaduto Pedestre Memo 79/2015 Ciclovia;PRO-PD04
1734;-51.197157;-30.040147;55;;1117;7977218;;AV PROTASIO ALVES;;1117 AV PROTASIO ALVES;1117 AV PROTASIO ALVES;PEDESTRE;PED CB APOS R SANTA CECILIA;PRO-P09
1735;-51.176688;-30.039782;56;;3352;7977218;;AV PROTASIO ALVES;;3352 AV PROTASIO ALVES;3352 AV PROTASIO ALVES;PEDESTRE;PED BC APOS CRUZ PALMEIRA;PRO-PAL
1737;-51.127312;-30.040013;57;;;7977218;;AV PROTASIO ALVES;;DF 8425 AV PROTASIO ALVES;AV PROTASIO ALVES;PEDESTRE;BC ENTRE R AMADEO F O FREITAS E R ESPORTE CLUBE CR;PRO-PD15
1738;-51.120187;-30.038341;58;;9235;7977218;;AV PROTASIO ALVES;;9235 AV PROTASIO ALVES;9235 AV PROTASIO ALVES;PEDESTRE;CB PED PROX R ONOFRE PIRES MACIEL;PRO-PD14
1739;-51.120207;-30.038289;59;;9172;7977218;;AV PROTASIO ALVES;;9172 AV PROTASIO ALVES;9172 AV PROTASIO ALVES;PEDESTRE;BC PED PROX R ONOFRE PIRES MACIEL;PRO-PD14
1740;-51.182739;-30.043399;60;;2647;7977218;;AV PROTASIO ALVES;;2647 AV PROTASIO ALVES;2647 AV PROTASIO ALVES;PEDESTRE;CB DEF R CARAZINHO;PRO-PD23
1741;-51.182469;-30.043309;61;;2700;7977218;;AV PROTASIO ALVES;;2700 AV PROTASIO ALVES;2700 AV PROTASIO ALVES;PEDESTRE;BC ESQ R CARAZINHO;PRO-PD22
1742;-51.126434;-30.039920;62;;8565;7977218;;AV PROTASIO ALVES;;8565 AV PROTASIO ALVES;8565 AV PROTASIO ALVES;PEDESTRE;CB APOS REVERENDO DANIEL BETTS;PRO-REV
1743;-51.204710;-30.012674;63;;;8081200;8079089;AV PRESIDENTE FRANKLIN ROOSEVELT;R QUINTINO BANDEIRA;AV PRESIDENTE FRANKLIN ROOSEVELT & R QUINTINO BANDEIRA;AV PRESIDENTE FRANKLIN ROOSEVELT & R QUINTINO BANDEIRA;CRUZAMENTO;;ROO-QBA
1744;-51.207472;-30.048637;64;;1242;7976202;;R SANTANA;;1242 R SANTANA;1242 R SANTANA;PEDESTRE;;SAN-DOM
1745;-51.180977;-30.051830;65;;1303;8274151;;R DR SALVADOR FRANCA;;1303 R DOUTOR SALVADOR FRANCA;R DR SALVADOR FRANCA;PEDESTRE;PED BC APOS CRUZ FELIZARDO;SAL-FLZ
1746;-51.182801;-30.055476;66;;888;8274151;;R DR SALVADOR FRANCA;;888 R DOUTOR SALVADOR FRANCA;R DR SALVADOR FRANCA;PEDESTRE;PED NS APOS CRUZ VALPARAISO;SAL-VAL
1747;-51.151263;-30.034162;67;;;8576084;8577090;AV SATURNINO DE BRITO;R FRANCISCO DE AQUINO;AV SATURNINO DE BRITO & R FRANCISCO AQUINO;AV SATURNINO DE BRITO & R FRANCISCO AQUINO;CRUZAMENTO;;SAT-IPE
1748;-51.151255;-30.033877;68;;;8576084;8577058;AV SATURNINO DE BRITO;AV DOS PRAZERES;AV SATURNINO DE BRITO & AV DOS PRAZERES;AV SATURNINO DE BRITO & AV DOS PRAZERES;CRUZAMENTO;;SAT-IPE
1749;-51.151212;-30.033766;69;;985;8576084;;AV SATURNINO DE BRITO;;985 AV SATURNINO DE BRITO;985 AV SATURNINO DE BRITO;PEDESTRE;PED SN APOS CRUZ AV DOS PRAZERES;SAT-PD04
1750;-51.151811;-30.036166;70;;653;8576084;;AV SATURNINO DE BRITO;;653 AV SATURNINO DE BRITO;653 AV SATURNINO DE BRITO;PEDESTRE;PED ESQ R ALDROVADO LEAO;SAT-PD03
1752;-51.168791;-30.002802;71;;3610;8081192;;AV SERTORIO;;3610 AV SERTORIO;3610 AV SERTORIO;PEDESTRE;PED BC ESQ CARNEIRO DA FONTOURA;SER-PD10
